Folder,Workflow,Worklet,Session,Mapping,Instance_Name,Direction,Type,Name,File_or_Table_Name,Directory_or_Connection,Is_Flat_File
project_EVL,wf_EVL_Temp,,s_m_EVL_SET_PARAMETER,m_EVL_SET_PARAMETER,Shortcut_to_DUAL,Source,Relational Reader,Shortcut_to_DUAL,Shortcut_to_DUAL,$DBConnection_ORA_RSO_SRC,No
project_EVL,wf_EVL_Temp,,s_m_EVL_SET_PARAMETER,m_EVL_SET_PARAMETER,SQ_Shortcut_to_DUAL,Source,Relational Reader,SQ_Shortcut_to_DUAL,SQ_Shortcut_to_DUAL,$Source,No
project_EVL,wf_EVL_Temp,,s_m_EVL_SET_PARAMETER,m_EVL_SET_PARAMETER,Shortcut_to_FF_DUMMY,Target,File Writer,Shortcut_to_FF_DUMMY,ff_evl_set_parameter.out,$PMTargetFileDir&#x5c;,Yes
project_EVL,wf_EVL_Temp,,s_m_EVL_SFTP2,m_EVL_SFTP,FF_DUMMY1,Target,File Writer,FF_DUMMY1,ff_dummy11.out,$PMTargetFileDir&#x5c;,Yes
project_EVL,wf_EVL_Temp,,s_m_EVL_SFTP2,m_EVL_SFTP,FF_DUMMY,Source,Flat File,FF_DUMMY,FF_DUMMY.txt,$PMSourceFileDir&#x5c;,Yes
project_EVL,wf_EVL_Temp,,s_m_EVL_SFTP2,m_EVL_SFTP,SQ_FF_DUMMY,Source,File Reader,SQ_FF_DUMMY,SQ_FF_DUMMY,,Yes
project_EVL,wf_EVL_Temp,,s_m_DUMMY,m_DUMMY,SQ_Test,Source,Relational Reader,SQ_Test,SQ_Test,SRC_CRH_RSO_PROD,No
project_EVL,wf_EVL_Temp,,s_m_DUMMY,m_DUMMY,DUMMY_TARGET,Target,File Writer,DUMMY_TARGET,dummy_target1.out,$PMTargetFileDir&#x5c;,Yes
project_EVL,wf_EVL_Temp,,s_m_DUMMY,m_DUMMY,Test,Source,Oracle,Test,Test,,No
project_EVL,wf_EVL_SFTP_MIDMONTH,,s_m_EVL_SFTP_2,m_EVL_SFTP,FF_DUMMY1,Target,File Writer,FF_DUMMY1,ff_dummy11.out,$PMTargetFileDir&#x5c;,Yes
project_EVL,wf_EVL_SFTP_MIDMONTH,,s_m_EVL_SFTP_2,m_EVL_SFTP,FF_DUMMY,Source,Flat File,FF_DUMMY,FF_DUMMY.txt,$PMSourceFileDir&#x5c;,Yes
project_EVL,wf_EVL_SFTP_MIDMONTH,,s_m_EVL_SFTP_2,m_EVL_SFTP,SQ_FF_DUMMY,Source,File Reader,SQ_FF_DUMMY,SQ_FF_DUMMY,,Yes
project_EVL,wf_EVL_SFTP_MIDMONTH,,s_m_EVL_SFTP,m_EVL_SFTP,FF_DUMMY1,Target,File Writer,FF_DUMMY1,ff_dummy11.out,$PMTargetFileDir&#x5c;,Yes
project_EVL,wf_EVL_SFTP_MIDMONTH,,s_m_EVL_SFTP,m_EVL_SFTP,FF_DUMMY,Source,Flat File,FF_DUMMY,FF_DUMMY.txt,$PMSourceFileDir&#x5c;,Yes
project_EVL,wf_EVL_SFTP_MIDMONTH,,s_m_EVL_SFTP,m_EVL_SFTP,SQ_FF_DUMMY,Source,File Reader,SQ_FF_DUMMY,SQ_FF_DUMMY,,Yes
project_EVL,wf_EVL_RTL_MIDMONTH,,s_m_EVL_STG_CECL_FIS_BIC_PAYMENTS,m_EVL_STG_CECL_FIS_BIC_PAYMENTS,AMGDSQ_Shortcut_to_csvdata_CSVDATA,Source,PowerExchange Reader for Sequential files,AMGDSQ_Shortcut_to_csvdata_CSVDATA,AMGDSQ_Shortcut_to_csvdata_CSVDATA,,Yes
project_EVL,wf_EVL_RTL_MIDMONTH,,s_m_EVL_STG_CECL_FIS_BIC_PAYMENTS,m_EVL_STG_CECL_FIS_BIC_PAYMENTS,Shortcut_to_csvdata_CSVDATA,Source,PowerExchange Reader for Sequential files,csvdata_CSVDATA,csvdata_CSVDATA,,Yes
